Job title,Job company,job salary,posted,Job_location,Job link,Job requirements,job description
Quality Control Engineer (Polyethylene Film),Aldawlia For Plastic Materials ,Not preview,4 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-104266,Full Time,Not provided
Quality Control Engineer,Eamar Al Delta  ,Not preview,4 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Eamar-Al-Delta-Egypt-16772,On-site,Not provided
Quality Control Specialist,EVA Cosmetics   ,Not preview,2 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/EVA-Cosmetics-Egypt-8243,Experienced,Not provided
Mid-Level Software Quality Control Engineer.,Softxpert Incorporation  ,Not preview,2 days ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Softxpert-Incorporation-Egypt-3527,Manufacturing/Production,Not provided
In-Process Control Quality Officer - Alex,Parkville Pharmaceuticals ,Not preview,7 days ago,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Parkville-Pharmaceuticals-Egypt-9968,Quality,Not provided
Quality Control Inspector (Petroleum services),Confidential ,Not preview,3 days ago,"Alexandria, Egypt",,Engineering - Mechanical/Electrical,Not preview
Quality Control Manager (Petroleum Services),Confidential ,Not preview,7 days ago,"Cairo, Egypt",,Chemist,Not preview
Quality Control Analyst,Nada account ,Not preview,7 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Nada-account-Saudi-Arabia-29498,ISO 22000,Not provided
Production Control & Quality Coordinator,DOC Business Companion ,Not preview,8 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/doc-business-companion-egypt-133931,quality,Not provided
Quality Control Engineer,Electronic & Electrical Engineering  3E ,Not preview,8 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/--85748,Quality Control,Not provided
Quality Control Engineer,Frank Noe Egypt  ,Not preview,9 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/frank-noe-egypt-limited-company-Egypt-37285,Plastics Engineering,Not provided
Quality Control Engineer,Elsewedy Electric ,Not preview,10 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/El-Sewedy-Egypt-19852,Plastic Extrusion,Not provided
Quality Control,SH Chemical ,Not preview,11 days ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/SH-Chemical-Egypt-43613,Process Improvement,Not provided
Junior Mechanical Quality Control Engineer,TEPCO S.A.E. ,Not preview,11 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/TEPCO-S-A-E--Egypt-5396,Full Time,Not provided
Quality Control Specialist,Spinneys Egypt ,Not preview,11 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Spinneys-Egypt-Egypt-721,On-site,Not provided
Quality Control Specialist,Yes Pac ,Not preview,12 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Yes-Pac-Egypt-20413,Experienced,Not provided
Quality Control Manager,Euromed for medical industries ,Not preview,22 hours ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Euromed-for-medical-industries-Egypt-21130,Quality,Not provided
Quality Control Specialist,Wood workers  ,Not preview,15 days ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Peter trading & Customs Clearance-Egypt-72246,Engineering - Telecom/Technology,Not provided
Quality Control Manager,Confidential ,Not preview,15 days ago,"Salam City, Cairo, Egypt",,Quality Control,Not preview
Quality Control Lead,Tawfeer ,Not preview,16 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-84172,Construction Inspection,Not provided
Software Quality Control Team Lead,SURE International Technology ,Not preview,9 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/SURE-International-Egypt-21250,Engineering,Not provided
